ID,Title,Description,URL,Type
1,12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee,"12/4 “FIRST WOMEN Series” Live Q&A: NASA's 2024 Wings of Excellence Awardee Event Date: December 4, 2024, at 4 p.m. ET (Wednesday) Registration Deadline: November 18, 2024, at 11:59 p.m. ET (Monday) This year we are introducing a new series, 'FIRST WOMEN,' Virtual Classroom Connections. Women are making history at NASA every day and now we're giving you the chance to meet them. This series h...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000025iVkEAI/124-first-women-series-live-qa-nasas-2024-wings-of-excellence-awardee,Educator
2,Celebrating Native American Heritage Month with NASA Internships,"Celebrating Native American Heritage Month with NASA Internships: Thursday, November 21, 2024 from 4–5 pm EST. Event Highlights: -Remarks from our feature speaker Joseph Connolly, https://www.nasa.gov/image-article/aerospace-engineer-joseph-connolly/ -Learn about NASA's initiative to increase American Indian and Alaska Native engagement in STEM. -NASA Internships 101: Gain insights into the ...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000tLVF2A2/celebrating-native-american-heritage-month-with-nasa-internships,Student and Educator
3,FY25 NCAS Mission 1: Discover B,"Please review all the information on the NCAS website (http://go.nasa.gov/ncas), including the FAQ and other help pages before completing the application. Description: NASA Community College Aerospace Scholars (NCAS) is a STEM engagement activity for community college students seeking to transfer to a 4-year institution or go directly to the labor force. NCAS uses NASA’s unique expertise, resea...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000DX6D2AW/fy25-ncas-mission-1-discover-b,Student
4,12/5 Celebrate Computer Science at KSC: Virtual Participation,"Celebrate Computer Science at Kennedy Space Center: Virtual Participation Event Time: Thursday, December 5, 2024 1:00 p.m. EST Deadline: November 25, 2024 NASA's Celebrate Computer Science at Kennedy Space Center: Virtual Participation is a hybrid event for all informal and formal K-12 educators and students. All schools are welcome to apply to join, virtually, as a panel of four NASA experts...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000MCH52AO/125-celebrate-computer-science-at-ksc-virtual-participation,Educator
5,12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity,"12/11 Virtual Classroom Connection: Astro-Not-Yets! Explore Microgravity Event Date: December 11, 2024, at 1 p.m. ET (Wednesday) Registration Deadline: November 27, 2024, at 11:59 p.m. ET (Wednesday) Attention K-4 Educators! We have an exciting opportunity for you to connect your classrooms this fall. Introducing the Astro-Not-Yets! The Astro-Not-Yets are a series of short stories to help...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000028SdGEAU/1211-virtual-classroom-connection-astro-not-yets-explore-microgravity,Educator
6,Exp 73 NGS In-Flight Education Downlinks,"In-Flight Education Downlinks are opportunities for students and educators to engage with astronauts aboard the International Space Station for a twenty-minute, question and answer session. Downlinks are available to formal and informal US-based education organizations and scheduled through a competitive proposal process. The target audience is K-12 students. The Expedition 73 proposal window...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000RDlx2AG/exp-73-ngs-in-flight-education-downlinks,Educator
7,12/12 Surprisingly STEM Live Q&A: Memory Metal Engineer,"Event Date: December 12, 2024, at 4 p.m. ET (Thursday) Registration Deadline: December 5, 2024, at 11:59 p.m. ET (Thursday) Surprisingly STEM is a video series that highlights exciting and unexpected careers at NASA. This series is designed to inform students about the broad range of career opportunities at NASA – outside of the typical associations of rocket scientists and astronauts – and to...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000025iN2EAI/1212-surprisingly-stem-live-qa-memory-metal-engineer,Educator
8,2024-25 NASA STEM Kids Virtual Event Group Registration: Artemis,"The NASA Glenn Research Center’s Office of Science, Technology, Engineering, and Mathematics (STEM) Engagement has a strong interest in engaging youth in STEM and inspiring their pursuit of STEM careers. NASA STEM Kids Virtual Events will engage Kindergarten through fourth grade (K-4) students in the excitement of NASA’s missions of exploration and discovery through virtual tours, conversations wi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000zHtZ2AU/2024-25-nasa-stem-kids-virtual-event-group-registration-artemis,Student
9,2024-25 NASA STEM Kids Virtual Event Individual Registration: Artemis,"The NASA Glenn Research Center’s Office of Science, Technology, Engineering, and Mathematics (STEM) Engagement has a strong interest in engaging youth in STEM and inspiring their pursuit of STEM careers. NASA STEM Kids Virtual Events will engage Kindergarten through fourth grade (K-4) students in the excitement of NASA’s missions of exploration and discovery through virtual tours, conversations wi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ0000016jzZ2AQ/2024-25-nasa-stem-kids-virtual-event-individual-registration-artemis,Student
